site_lance-id,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7
nydam_N937,0.4902756423,0.4136495166,0.9056869606,0.3887745873,1.2589109557,0.3912620803,2.5076324034,0.334049743,1.2589109557,0.269374927,0.9056869606,0.2718624199,0.4902756423,0.2295750402
nydam_N939,0.4567543389,0.3799489639,0.8335659331,0.3388861619,1.2272857398,0.3437170798,2.4181069959,0.2736687706,1.2272857398,0.2156977561,0.8335659331,0.2229441329,0.4543388799,0.1915431668
nydam_N943,0.5443536674,0.4191312666,0.9340595497,0.3946214627,1.3556281772,0.3970724431,2.3703340595,0.3529547961,1.3556281772,0.2696214627,0.9340595497,0.2720724431,0.5443536674,0.2353077372
nydam_N944,0.5469935163,0.3953575782,0.9954347633,0.3593863552,1.1297273292,0.3617844368,2.2951949551,0.309026643,1.1297273292,0.2322880339,0.9954347633,0.2442784416,0.5469935163,0.2083072185
nydam_N946,0.5368571752,0.3525957827,0.9623783886,0.3147716748,1.5250119928,0.3100436613,2.2791301431,0.2414874658,1.5250119928,0.194207331,0.9600143818,0.2060273647,0.5344931685,0.1682032569
nydam_N955,0.8038580247,0.4242789558,1.3098104056,0.3885646701,1.7413580247,0.3915408606,3.1848104056,0.337969432,1.7413580247,0.2338027654,1.3098104056,0.2278503844,0.8038580247,0.1980884796
nydam_N957,0.5778926213,0.4218696793,1.0120011484,0.3869859584,1.5546368073,0.3947378964,3.7794430089,0.3017146405,1.5546368073,0.2125673537,1.0081251794,0.2164433227,0.5740166523,0.1970634778
illerup_H,0.5260395889,0.2875979416,0.8852586574,0.2649444869,1.1150294129,0.2584720712,1.8367037578,0.2018384343,1.113411309,0.1468229013,0.8836405535,0.1613858365,0.524421485,0.13387807
illerup_AH,0.1067085469,0.4968882979,0.8097649562,0.4688780824,1.1963059302,0.471679104,3.2018373605,0.4128576514,1.1963059302,0.3260259833,0.8125659777,0.3372300695,0.1067085469,0.3204239402
illerup_QC,0.592345679,0.3001433472,0.923718228,0.2766139354,1.3001888163,0.286417857,2.2315613653,0.2138688374,1.3021496006,0.1452413864,0.923718228,0.149162955,0.5962672476,0.111908053
illerup_VA,0.1374646978,0.566090897,0.7104494473,0.5312325092,1.2638263536,0.5486617031,2.4838699266,0.4789449275,1.2616477043,0.3939776072,0.7104494473,0.3961562564,0.1396433471,0.3547619209
illerup_VC,0.5133690708,0.2969121275,0.9410006498,0.270596338,1.2677550357,0.2727893205,2.4980181936,0.2113858117,1.2699480182,0.1499823029,0.9453866147,0.145596338,0.5111760884,0.1127016012
illerup_YQ,0.1274714918,0.549271803,0.6007539346,0.5034702763,1.3361228913,0.5238265104,2.8984638583,0.452579691,1.3361228913,0.3584321083,0.6032984639,0.3762438132,0.1300160211,0.3253532279
illerup_ZF,0.5768128282,0.281634314,1.027004399,0.2567300995,1.425471832,0.2682243523,2.180261104,0.2011745439,1.4273875408,0.1341247355,1.0289201078,0.1417875707,0.5768128282,0.1073048121
illerup_ACZ,0.5727832829,0.3198803844,1.0206276158,0.274891456,1.4234830202,0.2912510663,2.3314413937,0.2176328198,1.4234830202,0.1603741837,1.0226725671,0.1665090375,0.5727832829,0.113340304
illerup_BYV,0.0876070971,0.5122824007,0.5120151117,0.4831385027,0.8253120151,0.5086394134,2.0712136545,0.4175647322,0.8253120151,0.355633949,0.5120151117,0.3629199235,0.0876070971,0.3192040765
illerup_CAD,0.552842755,0.2946490591,0.9059129305,0.2683332696,1.427842755,0.274912217,2.5002111761,0.2288595854,1.4300357375,0.1521051994,0.9059129305,0.1542981819,0.552842755,0.1214034451
illerup_CAF,0.0702809089,0.4770168446,0.4833243872,0.4480313374,0.9181069959,0.4673550089,2.7514403292,0.3948912408,0.9156915369,0.310350178,0.4809089283,0.3151810958,0.0702809089,0.307934719
illerup_CGT,0.0860205515,0.4925428849,0.5451023878,0.4586107492,0.9083758409,0.4626027651,2.273645302,0.4127025655,0.9103718489,0.3248782142,0.5470983958,0.3208861983,0.0880165595,0.2949380945
illerup_CJM,0.2896426251,0.2529732936,0.5966601689,0.2687627672,1.04402859,0.2670083813,1.994905783,0.2020961006,1.045782976,0.1494645216,0.5984145549,0.1564820655,0.2861338532,0.1354294339
illerup_CKM,0.0934450323,0.4221108294,0.514079953,0.3963171787,1.0577307466,0.3903647977,2.260111699,0.3387774961,1.0577307466,0.2812378136,0.514079953,0.2911584485,0.0954291593,0.2594124167
illerup_CKN,0.1002006173,0.4161709607,0.529367284,0.3765876274,1.1252006173,0.3890876274,2.3397839506,0.3140876274,1.1210339506,0.2661709607,0.529367284,0.280754294,0.1002006173,0.2453376274
illerup_CKQ,0.0805146512,0.4314057752,0.5403540086,0.3932531648,0.9118399524,0.4012852933,2.2873419604,0.349076458,0.9118399524,0.2928515584,0.5383459765,0.2948595905,0.0785066191,0.2607230443
illerup_CKR,0.5040625897,0.3197168857,1.0060005742,0.2732052578,1.3587137525,0.2848331648,2.2056129773,0.2228176609,1.3587137525,0.1530502191,1.0060005742,0.1627401416,0.5040625897,0.1259184361
illerup_CKS,0.1278872253,0.5690716845,0.7023553104,0.5241544268,1.3146484546,0.5643435521,2.6952631118,0.4816012353,1.3170125208,0.3610338594,0.7023553104,0.3917667199,0.1278872253,0.3303009989
illerup_CME,0.5452774217,0.2671284564,0.8433114811,0.2475209525,1.2511475625,0.2475209525,2.231522758,0.1985021927,1.2491868121,0.1220329275,0.8433114811,0.1200721771,0.5452774217,0.104386174
illerup_DNN,0.0999883249,0.4867924691,0.4892723586,0.4575961666,0.9929085771,0.4575961666,2.5646428629,0.4113686876,0.9953416023,0.32377978,0.4917053838,0.3262128052,0.0999883249,0.2921504523
